の,2.9320523817540454,1.146674282987794,-0.028922540724176188
、,3.314043969429738,0.38850990701031585,0.863784236517067
を,2.51670299061762,-2.7416461746162457,-0.8111453727532252
に,2.7294442257237312,-0.7188431410422512,1.5528786798955039
が,3.279078928063293,-1.155377465442934,3.058585773735553
する,3.740255691221678,-2.0894922748503486,0.3271058620125185
て,3.28999734994765,-2.9304110755208934,2.614486458946041
た,2.987263987263957,-0.3725059630847426,2.735147913590436
は,3.078952524069818,1.520509799848296,0.5740955995170952
。,4.545783651772055,-3.4867153618118043,4.428726653498923
0,5.470757463974427,7.665914932163841,2.8747437425948696
ます,4.182651064297818,-2.17534447036015,4.059540178497016
で,2.729503481564546,1.672831238640841,0.6044028268766969
と,2.677026779904608,-1.3362965405499123,1.8532259343819066
いる,4.273822641480435,-2.665148334839718,3.6188841061855648
「,2.613159862338006,-0.13494365874964404,-1.2598141592653578
」,2.868114134986735,-2.0779156655309965,-0.7076576524321639
だ,3.9979674832049787,-4.685858799241744,1.672150802423265
こと,4.625228020733856,-4.599934461376888,2.8364930401980257
も,3.241724980235095,-2.5757717711879318,2.085433050629849
人,5.14811492260045,2.4169137095320496,5.936105175413861
れる,3.167833330125832,0.6638677156333547,0.9021373621450647
など,3.5731566519804216,-1.217303173193165,-0.8363165817530341
ない,5.049482010305668,-6.779011596860885,3.9872825315741314
や,3.466246940175059,-0.8379932034294395,-2.6205004562284513
なる,3.63291385473807,-0.5794739979081572,4.64260079405931
から,2.9202267437820466,2.615825383506085,1.6183726111211898
日,5.870937696599441,6.980368743286361,1.0180262284268942
ある,4.275543901556671,-2.6093575279243795,2.6051946853328527
です,3.8632929707776147,-0.6746744964791087,4.622876061237392
という,3.4147696295632186,-3.696341975067011,2.7504353742843053
月,5.785310383228742,6.4537898462837155,3.419278236276326
よう,5.001209514860714,-6.764960701629551,1.09754706188589
まで,4.668428293295012,3.436181228109441,3.210593999511453
について,3.3764534503886163,-0.6418584123549532,-2.5875984019996343
できる,4.607052789998645,-4.3570718524755785,2.29733610528294
▽,4.664864774791799,5.4249614284597625,1.2928835495208606
この,4.413988269095137,2.450294904753048,0.782061508981682
ため,3.9176988925979503,-3.249236111283856,0.2747331064230921
年,4.26698514393698,6.751845860105981,2.85807688016681
0%,5.721663723465812,4.736648095065769,7.112075251428154
か,5.223989336937097,-7.452506938122496,3.1076454571523895
話す,6.350054051324346,-5.16788664538865,2.814881005084762
として,2.453088489527991,-2.1134311107037886,-1.4951875228539568
感染,6.798868948322201,-2.637286644086702,3.587459135499927
たい,4.796284174630204,-7.778614267404823,-1.3388186494872252
られる,3.5932261528020675,-3.778772189523716,3.39943220992795
行う,4.289608246038413,0.6463624585338182,-1.463134706279842
新型コロナウイルス,6.773268140855368,0.04299064744539882,0.666199721687291
中,3.928427155650223,-0.8002676708760402,1.0336385719737788
述べる,5.4333837358641635,-5.538797483900914,-1.010680341641729
いく,5.5324915425676995,-8.610024846922572,-1.2216895599332065
また,3.935994125860567,2.6806841390510954,-1.584100863331381
へ,4.265677971995537,-3.2475352682791923,-1.7186147791265236
思う,4.37941078163092,-5.259317564654013,3.34020378703441
接種,5.268720362041204,0.26342072607774103,2.406758506983662
さん,3.30552970592585,3.798218609114899,-1.5591604172692524
日本,3.552066582581542,1.1343879994568657,0.6498220556506673
的,4.407483124954964,-5.9575343009943,-2.5060219076007577
万,5.314490638290552,7.984243221504958,5.182622642002095
受ける,4.674344989721342,0.28103511901284256,1.6319673573151214
たり,4.160056037445318,-3.4452216290380933,1.5270934572497254
必要,4.912802287946659,-6.4946273113769575,0.8868001381988422
国,3.4572527501881747,-1.3952894000116427,-0.3910358920521359
前,3.997613053418274,4.094229900870627,2.5294986063207165
ので,3.552136228514364,-5.769188279751535,2.1934228683191783
これ,3.8617501555571216,1.8917348263457034,0.5018538845220637
対策,5.2867467843420695,-6.271875752930058,-2.9788165847383663
政府,4.2804542403704735,-0.2870761250625478,-3.265986670633518
状況,4.763277160193833,-4.119621484763669,1.2249268314730064
影響,4.974335494119425,-1.9007252312128722,2.22289177284946
・,3.512107810634822,3.4252097115360756,-5.020159116545633
ば,3.731227994429857,-5.356107953025629,1.9910708628042533
ほか,3.7136155706800613,0.22344435182785793,0.6095120659114539
くる,3.4634663365418006,-3.1059172901955976,2.584577684618622
多い,4.277729089615767,1.2449760467637676,5.82517721571104
ワクチン,4.395133536896353,-0.5352781258460497,0.3897353938601879
およそ,4.2896567363915805,6.346183025187633,4.536722648349463
増える,4.2341177276845094,0.31522865763617863,5.3454985957977454
選手,3.4082572513073894,3.0582461734239885,-2.3239404822016363
ぬ,3.354376111955477,-3.9038712049387003,1.3983262132996392
:,10.635675450488588,9.055609856039302,-3.0438556903957847
よる,4.2098247341789845,4.367422939437303,-0.6356764763877482
以上,3.262568668709143,3.3630741366401318,4.806986864221717
確認,4.48674860641047,-0.11270730690693193,2.050509693609029
ことし,4.5086306123702355,3.9951393124667045,1.7488908634138938
ウイルス,5.365978642104275,-1.1042610800814487,3.9507954016282913
対応,4.0959898412348075,-4.5237222471255585,-0.6030075741018254
示す,4.116314558962828,-4.2997780611964584,-1.084338585437877
一方,3.384738521095645,1.2337145141039274,-0.695056350346748
去年,4.200424924362226,5.166324925358878,3.109436242787259
言う,3.032019771123115,-3.462092387498826,2.04930502438582
ん,3.910238677442011,-2.8987201129394893,4.162300187514149
0歳,4.304679638398974,5.260649343565997,3.113758378283895
今月,4.7128820661864825,5.370339837528529,1.2950409901598732
数,4.208796387983585,2.99908484562196,3.9700246614836607
